id,code,description
1,120,MAINE
2,122,NEW HAMPSHIRE
3,124,VERMONT
4,126,WESTERN MA
5,128,EASTERN MA
6,130,RHODE ISLAND
7,132,NEW YORK METRO NY
8,133,POUGHKEEPSIE NY
9,134,ALBANY NY
10,136,SYRACUSE NY
11,138,BINGHAMTON NY
12,140,BUFFALO NY
13,220,ATLANTIC COASTAL NJ
14,222,DELAWARE VALLEY NJ
15,224,NORTH JERSEY NJ
16,226,CAPITAL PA
17,228,PHILADELPHIA PA
18,230,ALTOONA PA
19,232,NORTHEAST PA
20,234,PITTSBURGH PA
21,236,WASHINGTON DC
22,238,BALTIMORE MD
23,240,HAGERSTOWN MD
24,242,SALISBURY MD
25,244,ROANOKE VA
26,246,CULPEPER VA
27,248,RICHMOND VA
28,250,LYNCHBURG VA
29,252,NORFOLK VA
30,254,CHARLESTON WV
31,256,CLARKSBURG WV
32,320,CLEVELAND OH
33,322,YOUNGSTOWN OH
34,324,COLUMBUS OH
35,325,AKRON OH
36,326,TOLEDO OH
37,328,DAYTON OH
38,330,EVANSVILLE IN
39,332,SOUTH BEND IN
40,334,AUBURN/HUNTINGTON IN
41,336,INDIANAPOLIS IN
42,338,BLOOMINGTON IN
43,340,DETROIT MI
44,342,UPPER PENINSULA MI
45,344,SAGINAW MI
46,346,LANSING MI
47,348,GRAND RAPIDS MI
48,350,NORTHEAST WI
49,352,NORTHWEST WI
50,354,SOUTHWEST WI
51,356,SOUTHEAST WI
52,358,CHICAGO IL
53,360,ROCKFORD IL
54,362,CAIRO IL
55,364,STERLING IL
56,366,FORREST IL
57,368,PEORIA IL
58,370,CHAMPAIGN IL
59,374,SPRINGFIELD IL
60,376,QUINCY IL
61,420,ASHEVILLE NC
62,422,CHARLOTTE NC
63,424,GREENSBORO NC
64,426,RALEIGH NC
65,428,WILMINGTON NC
66,430,GREENVILLE SC
67,432,FLORENCE SC
68,434,COLUMBIA SC
69,436,CHARLESTON SC
70,438,ATLANTA GA
71,440,SAVANNAH GA
72,442,AUGUSTA GA
