code,name
8084,TELUS COMMUNICATIONS INC.
081E,DISTRIBUTEL COMMUNICATIONS LIMITED
6574,"BELL CELLULAR, INC."
8821,ROGERS COMMUNICATIONS CANADA INC.
154E,IRISTEL INC. - ON
8301,"TELUS MOBILITY CELLULAR, INC."
2933,BELL WEST INC. - ON
160G,COMWAVE NETWORKS INC. - ON
812H,"IXICA COMMUNICATIONS, INC."
497E,SHAW TELECOM INC. - BC
8377,ROGERS COMMUNICATIONS CANADA INC.
8304,ALLSTREAM INC.
8819,TELE-MOBILE COMPANY DBA TELUS MOBILITY
5643,FIDO SOLUTIONS INC
383F,FREEDOM MOBILE INC.
201A,PRIMUS TELECOMMUNICATIONS CANADA INC.
8506,"GT GROUP TELECOM SERVICES, CORP."
4727,"ISP TELECOM, INC."
6996,GLOBALSTAR CANADA COMPANY
464D,FIBERNETICS CORPORATION - ON
4878,BRAGG COMMUNICATIONS INC.
787G,FREEDOM MOBILE INC.
575G,"BEANFIELD TECHNOLOGIES, INC."
346J,"IRISTEL, INC."
646F,TELUS MOBILITY
743B,ROGERS COMMUNICATIONS CANADA INC.
421G,BRAGG COMMUNICATIONS INC.
2248,"NORTHERN TELEPHONE COOPERATIVE, INC."
8303,TELE-MOBILE COMPANY DBA TELUS MOBILITY
8091,SASKATCHEWAN TELEPHONE COMPANY
9868,SASK TEL
2782,TELUS INTEGRATED COMMUNICATIONS
8901,CABLE & WIRELESS - ANGUILLA
299D,CARIBBEAN CABLE COMMUNICATIONS (ANGUILLA) LIMITED
850H,ANGLINE LTD.
565B,DIGICEL (GRENADA) LIMITED
6872,GCI COMMUNICATION CORP. DBA GENERAL COMMUNICATION
370F,WINDY CITY CELLULAR
989C,ADAK EAGLE ENTERPRISE LLC DBA ADAK TEL UTILITY
3030,"ACS OF THE NORTHLAND, INC."
3023,"UNITED UTILITIES, INC."
3002,BETTLES TELEPHONE CO.
3019,"OTZ TELEPHONE COOPERATIVE, INC."
3001,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOP., INC."
6563,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
9413,"LEVEL 3 COMMUNICATIONS, LLC - AK"
7785,GCI COMMUNICATION CORP. DBA GENERAL COMMUNICATION
6010,"NEW CINGULAR WIRELESS PCS, LLC"
588F,"TELALASKA CELLULAR, INC."
3000,"ACS OF ANCHORAGE, INC."
197D,VONAGE NETWORK INC.
3027,"ALASCOM, INC. DBA AT&T ALASKA"
753H,"WIDE VOICE, LLC - AK"
3685,"GLOBALSTAR USA, INC."
3015,"MATANUSKA TELEPHONE ASSOCIATION, INC."
3004,"BUSH - TEL, INC."
3017,ALASKA TELEPHONE COMPANY
3013,"KETCHIKAN PUBLIC UTILITIES, TELEPHONE DIVISION"
6354,ASTAC WIRELESS LLC
1449,"UNITED-KUC, INC. - AK"
3028,SUMMIT TELEPHONE
3006,"COPPER VALLEY TELEPHONE COOPERATIVE, INC."
6292,"COPPER VALLEY CELLULAR, INC."
3005,"CIRCLE TELEPHONE & ELECTRIC, LLC"
3008,"ACS OF FAIRBANKS, INC."
6926,"COMMUNICATIONS EQUIPMENT AND SVCS., INC."
3011,"INTERIOR TELEPHONE CO., INC."
3007,"CORDOVA TELEPHONE COOPERATIVE, INC."
6882,"CORDOVA WIRELESS COMMUNICATIONS, INC."
3016,"MUKLUK TELEPHONE CO., INC."
6747,BRISTOL BAY CELLULAR PARTNERSHIP
3018,"NUSHAGAK ELECTRIC & TELEPHONE COOPERATIVE, INC."
3026,NORTH COUNTRY TELEPHONE CO.
3022,"ACS OF ALASKA, INC."
3003,"BRISTOL BAY TELEPHONE COOPERATIVE, INC."
6181,"OTZ TELECOMMUNICATIONS, INC."
3025,"YUKON TELEPHONE CO., INC."
158J,OPTIMERA INC.
6804,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL
7229,MCIMETRO ACCESS TRANSMISSION SERVICES LLC
9788,CENTURYTEL TEL AL LLC (SOUTHERN) DBA CENTURYLINK
9236,NETWORK TELEPHONE CORPORATION - AL
8660,NUVOX COMMUNICATIONS
4839,"US LEC OF ALABAMA, INC."
7327,"LEVEL 3 TELECOM OF ALABAMA, LLC - AL"
5255,"LEVEL 3 COMMUNICATIONS, LLC - AL"
7469,INTERMEDIA COMMUNICATIONS INC. - AL
4615,"DELTACOM, INC. - AL"
9419,BELLSOUTH TELECOMM INC DBA SOUTH CENTRAL BELL TEL
8271,"TELEPORT COMMUNICATIONS AMERICA, LLC - AL"
6214,"NEW CINGULAR WIRELESS PCS, LLC - GA"
604E,"ONVOY, LLC - AL"
566J,RADIANTIQ LLC
336E,BRIGHT HOUSE NTWS INFORMATION SVCS (ALABAMA) - AL
2828,"FUSION CLOUD SERVICES, LLC"
072F,"BANDWIDTH.COM CLEC, LLC - AL"
7475,"POWERTEL BIRMINGHAM LICENSES, INC."
9736,PINE BELT BROADCASTING DBA PINE BELT TEL COMP SVCS
6664,SPRINT SPECTRUM L.P.
516C,AT&T CORP.
349D,"CHARTER FIBERLINK - ALABAMA, LLC - AL"
6744,SOUTHERN COMMUNICATIONS SERVICES
7421,AT&T LOCAL
073H,TELNYX LLC
6630,"USA MOBILITY WIRELESS, INC."
508J,CENTURYLINK COMMUNICATIONS LLC
0173,BROADRIVER COMMUNICATION CORPORATION-GA
