regionnum,regionname,exact_match
1,"Jersey City, NJ (USA)",
2,"Hackensack, NJ (USA)",
3,"Newark, NJ (USA)",
4,"Union City, NJ (USA)",
5,"Morristown, NJ (USA)",
6,"Bayonne, NJ (USA)",
7,"Cliffside, NJ (USA)",
8,"Oradell, NJ (USA)",
9,"Englewood, NJ (USA)",
10,"Leonia, NJ (USA)",
11,"Succasunna, NJ (USA)",
12,"Rutherford, NJ (USA)",
13,"Ramsey, NJ (USA)",
14,"Dumont, NJ (USA)",
15,"Kearny, NJ (USA)",
16,"Caldwell, NJ (USA)",
17,"Fair Lawn, NJ (USA)",
18,"Ridgewood, NJ (USA)",
19,"Cragmere, NJ (USA)",
20,"Closter, NJ (USA)",
21,"Hasbrouck Heights, NJ (USA)",
22,"Westwood, NJ (USA)",
23,"Wyckoff, NJ (USA)",
24,"Teaneck, NJ (USA)",
25,"Park Ridge, NJ (USA)",
26,"Oakland, NJ (USA)",
27,"Passaic, NJ (USA)",
28,"Washington Zone 1, DC (USA)",
29,"New Haven, CT (IND)",
30,"Darien, CT (IND)",
31,"Guilford, CT (IND)",
32,"Danbury, CT (IND)",
33,"Waterbury, CT (IND)",
34,"Branford, CT (IND)",
35,"Bridgeport, CT (IND)",
36,"Wilton, CT (IND)",
37,"Meriden, CT (IND)",
38,"Westport, CT (IND)",
39,"Stamford, CT (IND)",
40,"Trumbull, CT (IND)",
41,"Huntington, CT (IND)",
42,"Norwalk, CT (IND)",
43,"Ansonia-Derby, CT (IND)",
44,"Ridgefield, CT (IND)",
45,"Madison, CT (IND)",
46,"Cheshire, CT (IND)",
47,"Fairfield, CT (IND)",
48,"Woodbury, CT (IND)",
49,"Wallingford, CT (IND)",
50,"Newtown, CT (IND)",
51,"Old Greenwich, CT (IND)",
52,"Milford, CT (IND)",
53,"Greenwich, CT (IND)",
54,"New Canaan, CT (IND)",
55,"Byram, CT (IND)",
56,"Redding, CT (IND)",
57,"Wolcott, CT (IND)",
58,"Seymour, CT (IND)",
59,"Naugatuck, CT (IND)",
60,"Georgetown, CT (IND)",
61,"Winnipeg, MB (CAN)",
62,"Poplar Point, MB (CAN)",
63,"Beausejour, MB (CAN)",
64,"Teulon, MB (CAN)",
65,"Roblin, MB (CAN)",
66,"Pilot Mound, MB (CAN)",
67,"Morris, MB (CAN)",
68,"Minnedosa, MB (CAN)",
69,"Neepawa, MB (CAN)",
70,"Lac Du Bonnet, MB (CAN)",
71,"Eriksdale, MB (CAN)",
72,"Boissevain, MB (CAN)",
73,"Altona, MB (CAN)",
74,"Oakburn, MB (CAN)",
75,"Birch River, MB (CAN)",
76,"Bowsman, MB (CAN)",
77,"Portage la Prairie, MB (CAN)",
78,"Southport, MB (CAN)",
79,"Manitou, MB (CAN)",
80,"Poplar River, MB (CAN)",
81,"Darlingford, MB (CAN)",
82,"Notre Dame de Lourdes, MB (CAN)",
83,"Edwin, MB (CAN)",
84,"Pine River, MB (CAN)",
85,"Melita, MB (CAN)",
86,"Brokenhead, MB (CAN)",
87,"Oakville, MB (CAN)",
88,"Lorette, MB (CAN)",
89,"Flin Flon, MB (CAN)",
90,"Macdonald, MB (CAN)",
91,"Pine Dock, MB (CAN)",
92,"Bissett, MB (CAN)",
93,"Inwood, MB (CAN)",
94,"Hecla, MB (CAN)",
95,"Swan River, MB (CAN)",
96,"Thicket Portage, MB (CAN)",
97,"Ilford, MB (CAN)",
98,"Steinbach, MB (CAN)",
99,"Norway House, MB (CAN)",
100,"Ashern, MB (CAN)",
101,"Rivers, MB (CAN)",
102,"Thompson, MB (CAN)",
103,"Fisher River, MB (CAN)",
104,"Grand Rapids, MB (CAN)",
105,"Winkler, MB (CAN)",
106,"Roland, MB (CAN)",
107,"Souris, MB (CAN)",
108,"Pine Falls, MB (CAN)",
109,"Warren, MB (CAN)",
110,"Brochet, MB (CAN)",
111,"Gretna, MB (CAN)",
112,"Easterville, MB (CAN)",
113,"Gods Lake Narrows, MB (CAN)",
114,"Lac Brochet, MB (CAN)",
115,"Split Lake, MB (CAN)",
116,"Stony Mountain, MB (CAN)",
117,"St Malo, MB (CAN)",
118,"Whitemouth, MB (CAN)",
119,"Falcon Lake, MB (CAN)",
120,"Glenella, MB (CAN)",
121,"Elie, MB (CAN)",
122,"Brookdale, MB (CAN)",
123,"Landmark, MB (CAN)",
124,"Lynn Lake, MB (CAN)",
125,"Cormorant, MB (CAN)",
126,"Snow Lake, MB (CAN)",
127,"Manigotagan, MB (CAN)",
128,"Vidir, MB (CAN)",
129,"Strathclair, MB (CAN)",
130,"Arden, MB (CAN)",
131,"Rennie, MB (CAN)",
132,"Fisher Branch, MB (CAN)",
133,"Emerson, MB (CAN)",
134,"South Indian Lake, MB (CAN)",
135,"Marquette, MB (CAN)",
136,"Arborg, MB (CAN)",
137,"Kleefeld, MB (CAN)",
138,"Riverton, MB (CAN)",
139,"St Claude, MB (CAN)",
140,"Berens River, MB (CAN)",
141,"Woodlands, MB (CAN)",
142,"Gladstone, MB (CAN)",
143,"Plumas, MB (CAN)",
144,"Dominion City, MB (CAN)",
145,"Niverville, MB (CAN)",
146,"Winnipeg Beach, MB (CAN)",
147,"Little Grand Rapids, MB (CAN)",
148,"Ste Anne, MB (CAN)",
149,"Brandon, MB (CAN)",
150,"Oakbank, MB (CAN)",
151,"Stonewall, MB (CAN)",
152,"Sanford, MB (CAN)",
153,"Selkirk, MB (CAN)",
154,"Gimli, MB (CAN)",
155,"Dugald, MB (CAN)",
156,"Piney, MB (CAN)",
157,"La Broquerie, MB (CAN)",
158,"Vita, MB (CAN)",
159,"Hadashville, MB (CAN)",
160,"Woodridge, MB (CAN)",
161,"Miami, MB (CAN)",
162,"St Pierre-Jolys, MB (CAN)",
163,"Grunthal, MB (CAN)",
164,"Elm Creek, MB (CAN)",
165,"Sprague, MB (CAN)",
166,"Petersfield, MB (CAN)",
167,"Langruth, MB (CAN)",
168,"Ste Rose du Lac, MB (CAN)",
169,"Eddystone, MB (CAN)",
170,"Steep Rock, MB (CAN)",
171,"Island Lake, MB (CAN)",
172,"Pikwitonei, MB (CAN)",
173,"Sidney, MB (CAN)",
174,"Cranberry Portage, MB (CAN)",
175,"Red Sucker Lake, MB (CAN)",
